,APINO,60_Interpol_OIL,90_Interpol_OIL,180_Interpol_OIL,365_Interpol_OIL,730_Interpol_OIL,60_Interpol_GAS,90_Interpol_GAS,180_Interpol_GAS,365_Interpol_GAS,730_Interpol_GAS,60_Interpol_WATER,90_Interpol_WATER,180_Interpol_WATER,365_Interpol_WATER,730_Interpol_WATER
380,49009288880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,49009288920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,49009288930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,49009289090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,49009289120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,49009289150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,49009289160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,49009289170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,49009289190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,49009289220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,49009289230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,49009289240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,49009289250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,49009289270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,49009289290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,49009289330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,49009289340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,49009289350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,49009289430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,49009289440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,49009289450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,49009289460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,49009289480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,49009289500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,49009289520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,49009289530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,49009289590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,49009289600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,49009289610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,49009289620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,49009289660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,49009289670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,49009289680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,49009289690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,49009289700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,49009289710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,49009289730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,49009289740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,49009289750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,49009289760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,49009289780000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,49009289790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,49009289800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,49009289810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,49009289830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,49009289840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,49009289850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,49009289860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,49009289870000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,49009289880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,49009289900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,49009289910000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,49009289920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,49009289930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,49009289980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,49009289990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,49009290140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,49009290150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,49009290160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,49009290170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,49009290190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,49009290210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,49009290220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,49009290230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,49009290270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,49009290280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
